date,ship,arrival,departure,cruiseline
2027-07-03,Star Legend,09:00,22:00,Windstar
2027-07-05,Celebrity Xcel,08:00,19:00,Celebrity Cruises
2027-07-05,Silver Ray,08:00,19:00,Silversea
2027-07-09,Celebrity Equinox,07:00,18:00,Celebrity Cruises
2027-07-11,Oosterdam,08:00,17:00,Holland America Line
2027-07-12,Celebrity Xcel,08:00,19:00,Celebrity Cruises
2027-07-12,Silver Ray,08:00,18:30,Silversea
2027-07-13,Celebrity Constellation,07:00,18:00,Celebrity Cruises
2027-07-14,Silver Shadow,08:00,21:00,Silversea
2027-07-18,Celebrity Constellation,07:00,18:00,Celebrity Cruises
2027-07-21,Explora I,17:30,23:55,Explora Journeys
2027-07-24,Seabourn Ovation,08:00,18:00,Seabourn
2027-07-28,Celebrity Ascent,07:00,18:00,Celebrity Cruises
