date,ship,arrival,departure,cruiseline
2026-06-07,Celebrity Equinox,07:00,19:00,Celebrity Cruises
2026-06-08,Crystal Serenity,08:00,19:00,Crystal
2026-06-11,Oceania Sirena,07:00,19:00,Oceania
2026-06-13,Azamara Journey,tbc,tbc,Azamara
2026-06-16,Oosterdam,07:00,17:00,Holland America Line
2026-06-19,Silver Ray,08:00,19:00,Silversea
2026-06-22,Silver Nova,08:00,20:00,Silversea
2026-06-25,Explora I,09:00,23:00,Explora Journeys
2026-06-27,Celebrity Constellation,07:00,19:00,Celebrity Cruises
2026-06-29,Celebrity Xcel,08:00,21:00,Celebrity Cruises
2026-06-30,Silver Shadow,08:00,19:00,Silversea
