date,ship,arrival,departure,cruiseline
2027-09-04,Seven Seas Prestige,08:00,18:00,Regent Seven Seas
2027-09-05,Celebrity Equinox,07:00,18:00,Celebrity Cruises
2027-09-07,Celebrity Xcel,07:00,18:00,Celebrity Cruises
2027-09-14,Celebrity Constellation,07:00,18:00,Celebrity Cruises
2027-09-15,Explora I,17:30,23:55,Explora Journeys
2027-09-16,Silver Ray,08:00,19:00,Silversea
2027-09-19,Celebrity Constellation,07:00,18:00,Celebrity Cruises
2027-09-19,Seabourn Ovation,08:00,18:00,Seabourn
2027-09-21,Star Explorer,09:00,21:00,Windstar
2027-09-22,Silver Ray,08:00,19:00,Silversea
2027-09-27,Star Clipper,tbc,tbc,Star Clippers
